# RTTI index for eldenring.exe (imagebase 0x140000000)
# vtable_rva	td_rva	ctor_rvas	mangled_name   (RVAs are er_base-relative)
0x3269f10	0x3d56030	0x257d930	.?AU?$MemberSlot@VhclCollidableViewer@@P81@EAAXPEAVhclClothInstance@@AEBUStateChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal2@PEAVhclClothInstance@@AEBUStateChangedInfo@hclClothInstanceSignals@@@@
0x3269f70	0x3d561a0	0x257d9d0	.?AU?$MemberSlot@VhclCollidableViewer@@P81@EAAXPEAVhclClothInstance@@PEBVhclSimulateOperatorInstanceData@@AEBUSimulateOpInstanceDataChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal3@PEAVhclClothInstance@@PEBVhclSimulateOperatorInstanceDat
0x3269f40	0x3d56110	0x257da70	.?AU?$MemberSlot@VhclCollidableViewer@@P81@EAAXPEAVhclClothInstance@@_N@Z@?$hkSignal2@PEAVhclClothInstance@@_N@@
0x3269fa0	0x3d562f0	0x257db10	.?AU?$MemberSlot@VhclCollidableViewer@@P81@EAAXPEAVhclSimClothInstance@@PEBVhclCollidable@@_N@Z@?$hkSignal3@PEAVhclSimClothInstance@@PEBVhclCollidable@@_N@@
0x3269ee0	0x3d55fc0	0x257dbb0	.?AU?$MemberSlot@VhclCollidableViewer@@P81@EAAXPEAVhclWorld@@M@Z@?$hkSignal2@PEAVhclWorld@@M@@
0x3269e80	0x3d55e80	0x257dc50	.?AU?$MemberSlot@VhclCollidableViewer@@P81@EAAXPEAVhclWorld@@PEAVhclClothInstance@@@Z@?$hkSignal2@PEAVhclWorld@@PEAVhclClothInstance@@@@
0x3269eb0	0x3d55f20	0x257dcf0	.?AU?$MemberSlot@VhclCollidableViewer@@P81@EAAXPEAVhclWorld@@PEBVhclCollidable@@@Z@?$hkSignal2@PEAVhclWorld@@PEBVhclCollidable@@@@
0x326a0f8	0x3d564e0	0x2581e40	.?AU?$MemberSlot@VhclGeometryViewer@@P81@EAAXPEAVhclClothInstance@@AEBUStateChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal2@PEAVhclClothInstance@@AEBUStateChangedInfo@hclClothInstanceSignals@@@@
0x326a128	0x3d565c0	0x2581ee0	.?AU?$MemberSlot@VhclGeometryViewer@@P81@EAAXPEAVhclClothInstance@@_N@Z@?$hkSignal2@PEAVhclClothInstance@@_N@@
0x326a0c8	0x3d56470	0x2581f80	.?AU?$MemberSlot@VhclGeometryViewer@@P81@EAAXPEAVhclWorld@@M@Z@?$hkSignal2@PEAVhclWorld@@M@@
0x326a098	0x3d563d0	0x2582020	.?AU?$MemberSlot@VhclGeometryViewer@@P81@EAAXPEAVhclWorld@@PEAVhclClothInstance@@@Z@?$hkSignal2@PEAVhclWorld@@PEAVhclClothInstance@@@@
0x326a278	0x3d56680	0x2584ae0	.?AU?$MemberSlot@VhclLandscapeCollisionViewer@@P81@EAAXPEAVhclWorld@@M@Z@?$hkSignal2@PEAVhclWorld@@M@@
